id,title,text_features,language,topics,stargazers_count,open_issues_count,html_url
c7683120-345b-466a-bcda-2d9e2446c173,awolfly9/IPProxyTool,ipproxytool python ip proxy tool scrapy crawl ip ip,Python,"proxy,python",1994,12,https://github.com/awolfly9/IPProxyTool
03cddb99-5d46-47bf-9132-0ca82adb9702,jesolem/PCV,pcv open source python module for computer vision,Python,,1946,27,https://github.com/jesolem/PCV
3200945d-d14e-4b84-b15b-1210f963b783,trycua/cua,cua c ua is the docker container for computer use ai agents,Python,"macos,swift,agent,windows",8941,58,https://github.com/trycua/cua
c5edbbb3-d931-4a4f-9e1c-54592c988faa,aburkov/theMLbook,themlbook the python code to reproduce the illustrations from the hundred page machine learning book,Python,"python,machine-learning,book",1955,7,https://github.com/aburkov/theMLbook
a6c65322-246c-4509-be4d-13bb3403ac5b,chenfei-wu/TaskMatrix,taskmatrix ,Python,,34424,258,https://github.com/chenfei-wu/TaskMatrix
a3c8c3a3-a013-4679-9c45-e838dfd20d81,jadore801120/attention-is-all-you-need-pytorch,attention is all you need pytorch a pytorch implementation of the transformer model in attention is all you need,Python,"deep-learning,pytorch,nlp,natural-language-processing",9280,82,https://github.com/jadore801120/attention-is-all-you-need-pytorch
a56fe662-ab87-44f0-b5bd-18ca786bb83c,naver/r2d2,r2d2 ,Python,,499,19,https://github.com/naver/r2d2
e4883dcf-933e-4bb4-afa9-9ebdd998fb04,All-Hands-AI/OpenHands,openhands openhands code less make more,Python,"agent,artificial-intelligence,llm,chatgpt,cli,developer-tools,gpt,openai",60195,387,https://github.com/All-Hands-AI/OpenHands
3eb2deb1-9da2-4284-91f3-d3f9ab5f62e5,chubin/cheat.sh,cheat sh the only cheat sheet you need,Python,"curl,terminal,command-line,cli,documentation",39604,139,https://github.com/chubin/cheat.sh
4eba5142-fb96-47f1-8a70-fe9b6c19fff5,Uberi/speech_recognition,speech recognition speech recognition module for python supporting several engines and apis online and offline,Python,python,8787,326,https://github.com/Uberi/speech_recognition
c5e553c5-ff2e-4017-90d4-adf820b2ee60,msight-tech/research-ms-loss,research ms loss ms loss multi similarity loss for deep metric learning,Python,,499,15,https://github.com/msight-tech/research-ms-loss
1325ff4a-e132-494c-a290-66116da0f4d5,snok/asgi-correlation-id,asgi correlation id request id propagation for asgi apps,Python,"logging,python,tracing,sentry",500,3,https://github.com/snok/asgi-correlation-id
ef8d464e-ea26-43e6-a658-9cce87c8f6df,pytorch/pytorch,pytorch tensors and dynamic neural networks in python with strong gpu acceleration,Python,"neural-network,gpu,numpy,deep-learning,python,machine-learning",91433,16612,https://github.com/pytorch/pytorch
b0b595d4-6443-4913-92cb-ae717051e724,virattt/ai-hedge-fund,ai hedge fund an ai hedge fund team,Python,,37981,37,https://github.com/virattt/ai-hedge-fund
ca111ef2-38a7-4635-8969-3fabd2575bad,pygments/pygments,pygments pygments is a generic syntax highlighter written in python,Python,python,1993,547,https://github.com/pygments/pygments
7641286a-3db2-4fda-9f5c-f094bf996269,shlomif/PySolFC,pysolfc a comprehensive feature rich open source and portable collection of solitaire games,Python,"python,open-source,game,hacktoberfest",498,108,https://github.com/shlomif/PySolFC
11c35c52-417e-4311-ac05-b4831a9581de,django/django,django the web framework for perfectionists with deadlines,Python,"python,django,web,framework,orm",84184,358,https://github.com/django/django
19de2429-3b4b-4509-a8cc-3f4482ef3e0c,CastagnaIT/plugin.video.netflix,plugin video netflix inputstream based netflix plugin for kodi,Python,,1960,35,https://github.com/CastagnaIT/plugin.video.netflix
60a8db93-4dc1-4125-8e08-c16237fd02b0,dengdan/seglink,seglink an implementation of the seglink alogrithm in paper detecting oriented text in natural images by linking segments,Python,ocr,498,26,https://github.com/dengdan/seglink
b9caeee2-c5be-4bbf-a21b-29f0d317b166,paramiko/paramiko,paramiko the leading native python sshv2 protocol library,Python,,9431,1128,https://github.com/paramiko/paramiko
de33eef4-f66c-4469-8378-36dbe83420f9,rougier/numpy-tutorial,numpy tutorial numpy beginner tutorial,Python,"python,numpy,tutorial",498,1,https://github.com/rougier/numpy-tutorial
71363575-1a51-488d-a4fc-d32967328fce,simonarvin/eyeloop,eyeloop eyeloop is a python 3 based eye tracker tailored specifically to dynamic closed loop experiments on consumer grade hardware,Python,,498,9,https://github.com/simonarvin/eyeloop
